GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-2-spring,org.springframework.orm.ibatis,SqlMapClientFactoryBean.SqlMapParserFactory,8,18,0,0,2,5,0,1,0,1
mybatis-2-spring,org.springframework.orm.ibatis,SqlMapClientFactoryBean,19,251,1,27,4,64,1,31,0,18
mybatis-2-spring,org.springframework.orm.ibatis,SqlMapClientTemplate,19,371,3,25,3,82,3,50,0,39
mybatis-2-spring,org.springframework.orm.ibatis.support,ClobStringTypeHandler,3,18,0,0,2,6,1,4,1,4
mybatis-2-spring,org.springframework.orm.ibatis.support,AbstractLobTypeHandler.LobCreatorSynchronization,0,12,0,0,0,6,0,3,0,3
mybatis-2-spring,org.springframework.orm.ibatis.support,AbstractLobTypeHandler,4,82,0,6,2,20,1,9,1,6
mybatis-2-spring,org.springframework.orm.ibatis.support,SqlMapClientDaoSupport,0,55,0,6,0,19,0,11,0,8
mybatis-2-spring,org.springframework.orm.ibatis.support,BlobByteArrayTypeHandler,3,19,0,0,2,6,1,4,1,4
mybatis-2-spring,org.springframework.orm.ibatis.support,BlobSerializableTypeHandler,11,54,0,4,4,17,1,6,1,4
mybatis-2-spring,org.ibatis.spring,Ibatis2Support,0,3,0,0,0,1,0,1,0,1
